"Series Code","Indicator Name",,,,"Source"
"SM.POP.REFG.OR","Refugee population by country or territory of origin",,,,"United Nations High Commissioner for Refugees (UNHCR), Statistics Database, Statistical Yearbook and data files, complemented by statistics on Palestinian refugees under the mandate of the UNRWA as published on its website. Data from UNHCR are available online at: www.unhcr.org/en-us/figures-at-a-glance.html."
"SM.POP.TOTL","International migrant stock, total",,,,"United Nations Population Division, Trends in Total Migrant Stock: 2012 Revision."
"SM.POP.TOTL.ZS","International migrant stock (% of population)",,,,"United Nations Population Division, Trends in Total Migrant Stock: 2008 Revision."
"SN.ITK.DEFC.ZS","Prevalence of undernourishment (% of population)",,,,"Food and Agriculture Organization (http://www.fao.org/publications/en/)."
"SN.ITK.DFCT","Depth of the food deficit (kilocalories per person per day)",,,,"Food and Agriculture Organization, Food Security Statistics."
"SN.ITK.SALT.ZS","Consumption of iodized salt (% of households)",,,,"United Nations Children's Fund, State of the World's Children."
"SN.ITK.VITA.ZS","Vitamin A supplementation coverage rate (% of children ages 6-59 months)",,,,"United Nations Children's Fund, State of the World's Children."
"SP.ADO.TFRT","Adolescent fertility rate (births per 1,000 women ages 15-19)",,,,"United Nations Population Division, World Population Prospects."
"SP.DTH.INFR.ZS","Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)",,,,"The United Nations Statistics Division's Population and Vital Statistics Report and the United Nations Population Division's World Population Prospects."
"SP.DTH.REPT.ZS","Completeness of total death reporting (% of reported total deaths to estimated total deaths)",,,,"The United Nations Statistics Division's Population and Vital Statistics Report and the United Nations Population Division's World Population Prospects."
"SP.DYN.AMRT.FE","Mortality rate, adult, female (per 1,000 female adults)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database."
"SP.DYN.AMRT.MA","Mortality rate, adult, male (per 1,000 male adults)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) University of California, Berkeley, and Max Planck Institute for Demographic Research. The Human Mortality Database."
"SP.DYN.CBRT.IN","Birth rate, crude (per 1,000 people)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.DYN.CDRT.IN","Death rate, crude (per 1,000 people)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.DYN.CONM.ZS","Contraceptive prevalence, modern methods (% of women ages 15-49)",,,,"Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division."
"SP.DYN.CONU.ZS","Contraceptive prevalence, any methods (% of women ages 15-49)",,,,"UNICEF's State of the World's Children and Childinfo, United Nations Population Division's World Contraceptive Use, household surveys including Demographic and Health Surveys and Multiple Indicator Cluster Surveys."
"SP.DYN.IMRT.FE.IN","Mortality rate, infant, female (per 1,000 live births)",,,,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
"SP.DYN.IMRT.IN","Mortality rate, infant (per 1,000 live births)",,,,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
"SP.DYN.IMRT.MA.IN","Mortality rate, infant, male (per 1,000 live births)",,,,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org."
"SP.DYN.LE00.FE.IN","Life expectancy at birth, female (years)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.DYN.LE00.IN","Life expectancy at birth, total (years)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision, or derived from male and female life expectancy at birth from sources such as: (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.DYN.LE00.MA.IN","Life expectancy at birth, male (years)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.DYN.TFRT.IN","Fertility rate, total (births per woman)",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.DYN.TO65.FE.ZS","Survival to age 65, female (% of cohort)",,,,"United Nations Population Division. World Population Prospects: 2017 Revision."
"SP.DYN.TO65.MA.ZS","Survival to age 65, male (% of cohort)",,,,"United Nations Population Division. World Population Prospects: 2017 Revision."
"SP.DYN.WFRT","Wanted fertility rate (births per woman)",,,,"Demographic and Health Surveys."
"SP.HOU.FEMA.ZS","Female headed households (% of households with a female head)",,,,"Demographic and Health Surveys."
"SP.M15.2024.FE.ZS","Women who were first married by age 15 (% of women ages 20-24)",,,,"Demographic and Health Surveys (DHS)"
"SP.M18.2024.FE.ZS","Women who were first married by age 18 (% of women ages 20-24)",,,,"Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), AIDS Indicator Surveys(AIS), Reproductive Health Survey(RHS), and other household surveys."
"SP.MTR.1519.ZS","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)",,,,"Demographic and Health Surveys."
"SP.POP.0004.FE.5Y","Population ages 0-4, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0004.MA.5Y","Population ages 0-4, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0014.FE.IN","Population ages 0-14, female",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0014.FE.ZS","Population ages 0-14, female (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0014.MA.IN","Population ages 0-14, male",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0014.MA.ZS","Population ages 0-14, male (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0014.TO","Population ages 0-14, total",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0014.TO.ZS","Population ages 0-14 (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0509.FE.5Y","Population ages 5-9, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.0509.MA.5Y","Population ages 5-9, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1014.FE.5Y","Population ages 10-14, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1014.MA.5Y","Population ages 10-14, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1519.FE.5Y","Population ages 15-19, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1519.MA.5Y","Population ages 15-19, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1564.FE.IN","Population ages 15-64, female",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1564.FE.ZS","Population ages 15-64, female (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1564.MA.IN","Population ages 15-64, male",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1564.MA.ZS","Population ages 15-64, male (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1564.TO","Population ages 15-64, total",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.1564.TO.ZS","Population ages 15-64 (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.2024.FE.5Y","Population ages 20-24, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.2024.MA.5Y","Population ages 20-24, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.2529.FE.5Y","Population ages 25-29, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.2529.MA.5Y","Population ages 25-29, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.3034.FE.5Y","Population ages 30-34, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.3034.MA.5Y","Population ages 30-34, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.3539.FE.5Y","Population ages 35-39, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.3539.MA.5Y","Population ages 35-39, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.4044.FE.5Y","Population ages 40-44, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.4044.MA.5Y","Population ages 40-44, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.4549.FE.5Y","Population ages 45-49, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.4549.MA.5Y","Population ages 45-49, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.5054.FE.5Y","Population ages 50-54, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.5054.MA.5Y","Population ages 50-54, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.5559.FE.5Y","Population ages 55-59, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.5559.MA.5Y","Population ages 55-59, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.6064.FE.5Y","Population ages 60-64, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.6064.MA.5Y","Population ages 60-64, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.6569.FE.5Y","Population ages 65-69, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.6569.MA.5Y","Population ages 65-69, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.65UP.FE.IN","Population ages 65 and above, female",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.65UP.FE.ZS","Population ages 65 and above, female (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.65UP.MA.IN","Population ages 65 and above, male",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.65UP.MA.ZS","Population ages 65 and above, male (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.65UP.TO","Population ages 65 and above, total",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.65UP.TO.ZS","Population ages 65 and above (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.7074.FE.5Y","Population ages 70-74, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.7074.MA.5Y","Population ages 70-74, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.7579.FE.5Y","Population ages 75-79, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.7579.MA.5Y","Population ages 75-79, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.80UP.FE.5Y","Population ages 80 and above, female (% of female population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.80UP.MA.5Y","Population ages 80 and above, male (% of male population)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.BRTH.MF","Sex ratio at birth (male births per female births)",,,,"United Nations Population Division. World Population Prospects: 2017 Revision."
"SP.POP.DPND","Age dependency ratio (% of working-age population)",,,,"World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.DPND.OL","Age dependency ratio, old (% of working-age population)",,,,"World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.DPND.YG","Age dependency ratio, young (% of working-age population)",,,,"World Bank staff estimates based on age distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.GROW","Population growth (annual %)",,,,"Derived from total population. Population source: (1) United Nations Population Division. World Population Prospects: 2017 Revision, (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.POP.SCIE.RD.P6","Researchers in R&D (per million people)",,,,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
"SP.POP.TECH.RD.P6","Technicians in R&D (per million people)",,,,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics."
"SP.POP.TOTL","Population, total",,,,"(1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
"SP.POP.TOTL.FE.IN","Population, female",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.TOTL.FE.ZS","Population, female (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.TOTL.MA.IN","Population, male",,,,"World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.POP.TOTL.MA.ZS","Population, male (% of total)",,,,"World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision."
"SP.REG.BRTH.FE.ZS","Completeness of birth registration, female (%)",,,,"UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
"SP.REG.BRTH.MA.ZS","Completeness of birth registration, male (%)",,,,"UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
"SP.REG.BRTH.RU.ZS","Completeness of birth registration, rural (%)",,,,"UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
"SP.REG.BRTH.UR.ZS","Completeness of birth registration, urban (%)",,,,"UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
"SP.REG.BRTH.ZS","Completeness of birth registration (%)",,,,"UNICEF's State of the World's Children based mostly on household surveys and ministry of health data."
"SP.REG.DTHS.ZS","Completeness of death registration with cause-of-death information (%)",,,,"World Health Organization, Global Health Observatory Data Repository/World Health Statistics (http://apps.who.int/gho/data/node.main.1?lang=en)."
"SP.RUR.TOTL","Rural population",,,,"World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2014 Revision."
"SP.RUR.TOTL.ZG","Rural population growth (annual %)",,,,"World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2014 Revision."
"SP.RUR.TOTL.ZS","Rural population (% of total population)",,,,"World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2014 Revision."
"SP.URB.GROW","Urban population growth (annual %)",,,,"World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2014 Revision."
"SP.URB.TOTL","Urban population",,,,"World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2014 Revision."
"SP.URB.TOTL.IN.ZS","Urban population (% of total)",,,,"United Nations Population Division. World Urbanization Prospects: 2014 Revision."
"SP.UWT.TFRT","Unmet need for contraception (% of married women ages 15-49)",,,,"Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division."
"ST.INT.ARVL","International tourism, number of arrivals",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.DPRT","International tourism, number of departures",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.RCPT.CD","International tourism, receipts (current US$)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.RCPT.XP.ZS","International tourism, receipts (% of total exports)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files, and IMF and World Bank exports estimates."
"ST.INT.TRNR.CD","International tourism, receipts for passenger transport items (current US$)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.TRNX.CD","International tourism, expenditures for passenger transport items (current US$)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.TVLR.CD","International tourism, receipts for travel items (current US$)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.TVLX.CD","International tourism, expenditures for travel items (current US$)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.XPND.CD","International tourism, expenditures (current US$)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files."
"ST.INT.XPND.MP.ZS","International tourism, expenditures (% of total imports)",,,,"World Tourism Organization, Yearbook of Tourism Statistics, Compendium of Tourism Statistics and data files, and IMF and World Bank imports estimates."
"TG.VAL.TOTL.GD.ZS","Merchandise trade (% of GDP)",,,,"World Trade Organization, and World Bank GDP estimates."
"TM.QTY.MRCH.XD.WD","Import volume index (2000 = 100)",,,,"United Nations Conference on Trade and Development, Handbook of Statistics and data files, and International Monetary Fund, International Financial Statistics."
"TM.TAX.MANF.BC.ZS","Binding coverage, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization."
"TM.TAX.MANF.BR.ZS","Bound rate, simple mean, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization."
"TM.TAX.MANF.IP.ZS","Share of tariff lines with international peaks, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database."
"TM.TAX.MANF.SM.AR.ZS","Tariff rate, applied, simple mean, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MANF.SM.FN.ZS","Tariff rate, most favored nation, simple mean, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MANF.SR.ZS","Share of tariff lines with specific rates, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database."
"TM.TAX.MANF.WM.AR.ZS","Tariff rate, applied, weighted mean, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MANF.WM.FN.ZS","Tariff rate, most favored nation, weighted mean, manufactured products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MRCH.BC.ZS","Binding coverage, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization."
"TM.TAX.MRCH.BR.ZS","Bound rate, simple mean, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization."
"TM.TAX.MRCH.IP.ZS","Share of tariff lines with international peaks, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database."
"TM.TAX.MRCH.SM.AR.ZS","Tariff rate, applied, simple mean, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MRCH.SM.FN.ZS","Tariff rate, most favored nation, simple mean, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MRCH.SR.ZS","Share of tariff lines with specific rates, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database."
"TM.TAX.MRCH.WM.AR.ZS","Tariff rate, applied, weighted mean, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.MRCH.WM.FN.ZS","Tariff rate, most favored nation, weighted mean, all products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.TCOM.BC.ZS","Binding coverage, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization."
"TM.TAX.TCOM.BR.ZS","Bound rate, simple mean, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from World Trade Organization."
"TM.TAX.TCOM.IP.ZS","Share of tariff lines with international peaks, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database."
"TM.TAX.TCOM.SM.AR.ZS","Tariff rate, applied, simple mean, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.TCOM.SM.FN.ZS","Tariff rate, most favored nation, simple mean, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.TCOM.SR.ZS","Share of tariff lines with specific rates, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database."
"TM.TAX.TCOM.WM.AR.ZS","Tariff rate, applied, weighted mean, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.TAX.TCOM.WM.FN.ZS","Tariff rate, most favored nation, weighted mean, primary products (%)",,,,"World Bank staff estimates using the World Integrated Trade Solution system, based on data from United Nations Conference on Trade and Development's Trade Analysis and Information System (TRAINS) database and the World Trade Organization’s (WTO) Integrated Data Base (IDB) and Consolidated Tariff Schedules (CTS) database."
"TM.UVI.MRCH.XD.WD","Import unit value index (2000 = 100)",,,,"United Nations Conference on Trade and Development, Handbook of Statistics and data files. (http://unctadstat.unctad.org)"
"TM.VAL.AGRI.ZS.UN","Agricultural raw materials imports (% of merchandise imports)",,,,"World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division."
"TM.VAL.FOOD.ZS.UN","Food imports (% of merchandise imports)",,,,"World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division."
"TM.VAL.FUEL.ZS.UN","Fuel imports (% of merchandise imports)",,,,"World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division."
